noun,translation,case,number,declension
etxea,house,absolutive,singular,etxea
etxeak,house,absolutive,plural,etxeak
etxea,house,ergative,singular,etxeak
etxeak,house,ergative,plural,etxeek
etxea,house,genitive,singular,etxearen
etxeak,house,genitive,plural,etxeen
etxea,house,dative,singular,etxeari
etxeak,house,dative,plural,etxeei
etxea,house,locative,singular,etxean
etxeak,house,locative,plural,etxeetan
etxea,house,ablative,singular,etxetik
etxeak,house,ablative,plural,etxeetatik
etxea,house,allative,singular,etxera
etxeak,house,allative,plural,etxeetara
etxea,house,instrumental,singular,etxez
etxeak,house,instrumental,plural,etxeez
etxea,house,partitive,singular,etxerik
etxeak,house,partitive,plural,etxerik

gizona,man,absolutive,singular,gizona
gizonak,man,absolutive,plural,gizonak
gizona,man,ergative,singular,gizonak
gizonak,man,ergative,plural,gizonek
gizona,man,genitive,singular,gizonaren
gizonak,man,genitive,plural,gizonen
gizona,man,dative,singular,gizonari
gizonak,man,dative,plural,gizonei
gizona,man,locative,singular,gizonan
gizonak,man,locative,plural,gizonetan
gizona,man,ablative,singular,gizonetik
gizonak,man,ablative,plural,gizonetatik
gizona,man,allative,singular,gizonera
gizonak,man,allative,plural,gizonetara
gizona,man,instrumental,singular,gizonez
gizonak,man,instrumental,plural,gizonez
gizona,man,partitive,singular,gizonik
gizonak,man,partitive,plural,gizonik

emakumea,woman,absolutive,singular,emakumea
emakumeak,woman,absolutive,plural,emakumeak
emakumea,woman,ergative,singular,emakumeak
emakumeak,woman,ergative,plural,emakumeek
emakumea,woman,genitive,singular,emakumearen
emakumeak,woman,genitive,plural,emakumeen
emakumea,woman,dative,singular,emakumeari
emakumeak,woman,dative,plural,emakumeei
emakumea,woman,locative,singular,emakumean
emakumeak,woman,locative,plural,emakumeetan
emakumea,woman,ablative,singular,emakumeetik
emakumeak,woman,ablative,plural,emakumeetatik
emakumea,woman,allative,singular,emakumera
emakumeak,woman,allative,plural,emakumeetara
emakumea,woman,instrumental,singular,emakumez
emakumeak,woman,instrumental,plural,emakumeez
emakumea,woman,partitive,singular,emakumerik
emakumeak,woman,partitive,plural,emakumerik

mutila,boy,absolutive,singular,mutila
mutilak,boy,absolutive,plural,mutilak
mutila,boy,ergative,singular,mutilak
mutilak,boy,ergative,plural,mutilek
mutila,boy,genitive,singular,mutilaren
mutilak,boy,genitive,plural,mutilen
mutila,boy,dative,singular,mutilari
mutilak,boy,dative,plural,mutilei
mutila,boy,locative,singular,mutilan
mutilak,boy,locative,plural,mutilen
mutila,boy,ablative,singular,mutilatik
mutilak,boy,ablative,plural,mutilengandik
mutila,boy,allative,singular,mutilera
mutilak,boy,allative,plural,mutilengana
mutila,boy,instrumental,singular,mutilez
mutilak,boy,instrumental,plural,mutilengandik
mutila,boy,partitive,singular,mutilik
mutilak,boy,partitive,plural,mutilik

neska,girl,absolutive,singular,neska
neskak,girl,absolutive,plural,neskak
neska,girl,ergative,singular,neskak
neskak,girl,ergative,plural,neskek
neska,girl,genitive,singular,neskaren
neskak,girl,genitive,plural,nesken
neska,girl,dative,singular,neskari
neskak,girl,dative,plural,neskei
neska,girl,locative,singular,neskan
neskak,girl,locative,plural,nesketan
neska,girl,ablative,singular,neskandik
neskak,girl,ablative,plural,nesketatik
neska,girl,allative,singular,neskara
neskak,girl,allative,plural,nesketara
neska,girl,instrumental,singular,neskaz
neskak,girl,instrumental,plural,neskez
neska,girl,partitive,singular,neskarik
neskak,girl,partitive,plural,neskarik

aita,father,absolutive,singular,aita
aitak,father,absolutive,plural,aitak
aita,father,ergative,singular,aitak
aitak,father,ergative,plural,aitek
